'Elapsed time','ECG','Abdomen_1','Abdomen_2','Abdomen_3','Abdomen_4','Abdomen_5'
'0:00.118',0.072,-0.048,-0.013,0.055,-0.056,-0.047
'0:00.120',0.066,-0.050,-0.012,0.039,-0.073,-0.052
'0:00.122',0.064,-0.052,-0.012,0.037,-0.081,-0.055
'0:00.124',0.078,-0.054,-0.016,0.045,-0.079,-0.052
'0:00.126',0.083,-0.049,-0.016,0.057,-0.070,-0.043
'0:00.128',0.099,-0.037,-0.011,0.062,-0.057,-0.029
'0:00.130',0.099,-0.023,0.003,0.060,-0.045,-0.016
'0:00.132',0.110,-0.012,0.019,0.054,-0.040,-0.006
'0:00.134',0.117,-0.003,0.035,0.045,-0.045,0.002
'0:00.136',0.116,0.003,0.046,0.034,-0.057,0.006
'0:00.138',0.123,0.004,0.050,0.026,-0.068,0.003
'0:00.140',0.127,-0.002,0.046,0.024,-0.070,-0.006
'0:00.142',0.129,-0.011,0.036,0.028,-0.066,-0.014
'0:00.144',0.136,-0.015,0.030,0.036,-0.064,-0.015
'0:00.146',0.130,-0.011,0.031,0.040,-0.063,-0.006
'0:00.148',0.090,-0.001,0.034,0.039,-0.065,0.003
'0:00.150',0.118,0.004,0.026,0.034,-0.064,0.000
'0:00.152',0.124,-0.004,0.011,0.034,-0.065,-0.010
'0:00.154',0.116,-0.012,0.008,0.037,-0.066,-0.013
'0:00.156',0.107,-0.010,0.028,0.043,-0.067,-0.008
'0:00.158',0.087,-0.003,0.043,0.053,-0.061,-0.004
'0:00.160',0.115,-0.003,0.031,0.067,-0.050,-0.008
'0:00.162',0.126,-0.010,0.008,0.076,-0.047,-0.011
'0:00.164',0.107,-0.010,0.005,0.063,-0.059,-0.005
'0:00.166',0.115,0.000,0.023,0.034,-0.075,0.008
'0:00.168',0.140,0.013,0.036,0.017,-0.077,0.017
'0:00.170',0.134,0.018,0.037,0.016,-0.070,0.018
'0:00.172',0.106,0.016,0.037,0.015,-0.067,0.015
'0:00.174',0.110,0.012,0.041,0.006,-0.075,0.011
'0:00.176',0.127,0.008,0.040,-0.001,-0.082,0.006
'0:00.178',0.135,0.004,0.031,-0.001,-0.087,0.003
'0:00.180',0.105,0.001,0.021,0.002,-0.087,0.001
'0:00.182',0.098,-0.002,0.014,0.011,-0.085,-0.003
'0:00.184',0.091,-0.007,0.007,0.019,-0.082,-0.012
'0:00.186',0.107,-0.014,-0.001,0.021,-0.078,-0.018
'0:00.188',0.109,-0.015,-0.005,0.016,-0.077,-0.015
'0:00.190',0.096,-0.012,-0.002,0.012,-0.078,-0.010
'0:00.192',0.091,-0.011,0.010,0.016,-0.079,-0.009
'0:00.194',0.081,-0.014,0.019,0.033,-0.076,-0.017
'0:00.196',0.090,-0.022,0.016,0.053,-0.070,-0.029
'0:00.198',0.079,-0.031,-0.001,0.047,-0.068,-0.033
'0:00.200',0.087,-0.030,-0.017,0.011,-0.074,-0.026
'0:00.202',0.077,-0.022,-0.029,-0.022,-0.084,-0.016
'0:00.204',0.087,-0.019,-0.031,-0.022,-0.092,-0.020
'0:00.206',0.105,-0.024,-0.029,-0.001,-0.092,-0.028
'0:00.208',0.119,-0.028,-0.017,0.011,-0.087,-0.025
'0:00.210',0.138,-0.017,0.012,0.005,-0.082,-0.005
'0:00.212',0.148,0.007,0.056,-0.013,-0.084,0.021
'0:00.214',0.161,0.033,0.094,-0.040,-0.104,0.040
'0:00.216',0.184,0.044,0.108,-0.072,-0.136,0.044
'0:00.218',0.206,0.044,0.108,-0.093,-0.161,0.044
'0:00.220',0.204,0.047,0.112,-0.092,-0.154,0.053
'0:00.222',0.198,0.065,0.120,-0.062,-0.104,0.079
'0:00.224',0.189,0.094,0.112,-0.001,-0.022,0.107
'0:00.226',0.183,0.115,0.084,0.074,0.060,0.114
'0:00.228',0.167,0.108,0.051,0.139,0.111,0.095
'0:00.230',0.158,0.084,0.037,0.171,0.119,0.071
'0:00.232',0.169,0.064,0.044,0.169,0.094,0.058
'0:00.234',0.181,0.057,0.059,0.141,0.052,0.056
'0:00.236',0.145,0.056,0.076,0.101,0.002,0.054
'0:00.238',0.125,0.047,0.087,0.068,-0.045,0.039
'0:00.240',0.130,0.029,0.079,0.060,-0.075,0.018
'0:00.242',0.158,0.008,0.053,0.069,-0.080,0.001
'0:00.244',0.142,-0.003,0.029,0.081,-0.072,-0.003
'0:00.246',0.156,0.001,0.023,0.087,-0.059,0.005
'0:00.248',0.143,0.013,0.026,0.091,-0.047,0.017
'0:00.250',0.140,0.022,0.033,0.090,-0.041,0.026
'0:00.252',0.111,0.025,0.041,0.086,-0.041,0.027
'0:00.254',0.101,0.026,0.043,0.075,-0.043,0.025
'0:00.256',0.101,0.023,0.031,0.064,-0.047,0.018
'0:00.258',0.119,0.017,0.010,0.058,-0.053,0.011
'0:00.260',0.094,0.010,-0.008,0.057,-0.060,0.008
'0:00.262',0.105,0.006,-0.016,0.059,-0.070,0.006
'0:00.264',0.141,0.004,-0.016,0.056,-0.075,0.008
'0:00.266',0.122,0.011,-0.001,0.044,-0.072,0.020
'0:00.268',0.126,0.029,0.028,0.026,-0.064,0.040
'0:00.270',0.129,0.047,0.057,0.016,-0.063,0.054
'0:00.272',0.140,0.057,0.069,0.020,-0.066,0.057
'0:00.274',0.149,0.056,0.064,0.035,-0.065,0.054
'0:00.276',0.149,0.050,0.052,0.057,-0.057,0.046
'0:00.278',0.153,0.041,0.042,0.076,-0.052,0.037
'0:00.280',0.167,0.033,0.039,0.077,-0.055,0.033
'0:00.282',0.157,0.033,0.041,0.060,-0.064,0.035
'0:00.284',0.133,0.038,0.044,0.046,-0.071,0.039
'0:00.286',0.125,0.041,0.042,0.046,-0.072,0.040
'0:00.288',0.144,0.041,0.036,0.048,-0.071,0.041
'0:00.290',0.137,0.043,0.033,0.035,-0.077,0.047
'0:00.292',0.095,0.049,0.040,0.015,-0.086,0.049
'0:00.294',0.100,0.044,0.036,0.010,-0.091,0.034
'0:00.296',0.090,0.025,0.010,0.022,-0.093,0.010
'0:00.298',0.084,0.001,-0.028,0.042,-0.093,-0.010
'0:00.300',0.088,-0.012,-0.050,0.061,-0.089,-0.011
'0:00.302',0.078,-0.011,-0.050,0.069,-0.083,-0.004
'0:00.304',0.087,0.001,-0.035,0.057,-0.077,0.009
'0:00.306',0.079,0.015,-0.015,0.041,-0.069,0.018
'0:00.308',0.043,0.022,-0.006,0.036,-0.060,0.020
'0:00.310',0.072,0.019,-0.011,0.037,-0.055,0.015
'0:00.312',0.093,0.012,-0.020,0.034,-0.057,0.011
'0:00.314',0.101,0.011,-0.023,0.032,-0.058,0.014
'0:00.316',0.091,0.013,-0.019,0.040,-0.052,0.019
'0:00.318',0.125,0.017,-0.011,0.053,-0.047,0.021
'0:00.320',0.124,0.020,0.003,0.058,-0.046,0.023
'0:00.322',0.097,0.026,0.023,0.055,-0.048,0.030
'0:00.324',0.121,0.036,0.035,0.051,-0.045,0.041
'0:00.326',0.141,0.047,0.030,0.056,-0.036,0.052
'0:00.328',0.149,0.056,0.025,0.065,-0.026,0.059
'0:00.330',0.150,0.061,0.035,0.071,-0.023,0.063
'0:00.332',0.138,0.063,0.053,0.066,-0.025,0.065
'0:00.334',0.156,0.064,0.059,0.057,-0.030,0.062
'0:00.336',0.149,0.059,0.052,0.056,-0.032,0.056
'0:00.338',0.136,0.051,0.040,0.067,-0.032,0.048
'0:00.340',0.155,0.043,0.034,0.082,-0.032,0.040
'0:00.342',0.160,0.037,0.038,0.083,-0.032,0.036
'0:00.344',0.160,0.039,0.050,0.066,-0.030,0.043
'0:00.346',0.119,0.048,0.059,0.051,-0.021,0.053
'0:00.348',0.113,0.058,0.053,0.054,-0.008,0.057
'0:00.350',0.121,0.055,0.028,0.070,0.002,0.050
'0:00.352',0.115,0.043,0.000,0.081,0.003,0.038
'0:00.354',0.107,0.032,-0.010,0.078,-0.002,0.028
'0:00.356',0.106,0.028,-0.006,0.067,-0.010,0.023
'0:00.358',0.083,0.024,-0.005,0.059,-0.017,0.020
'0:00.360',0.060,0.016,-0.016,0.057,-0.022,0.010
'0:00.362',0.083,0.002,-0.033,0.066,-0.020,-0.003
'0:00.364',0.100,-0.010,-0.041,0.079,-0.012,-0.009
'0:00.366',0.088,-0.011,-0.029,0.091,-0.003,-0.003
'0:00.368',0.107,0.000,-0.004,0.093,0.002,0.009
'0:00.370',0.096,0.014,0.013,0.088,0.001,0.021
'0:00.372',0.111,0.025,0.014,0.076,-0.007,0.030
'0:00.374',0.142,0.036,0.012,0.060,-0.019,0.042
'0:00.376',0.140,0.047,0.022,0.052,-0.026,0.054
'0:00.378',0.156,0.059,0.045,0.057,-0.027,0.061
'0:00.380',0.162,0.062,0.063,0.077,-0.017,0.060
'0:00.382',0.164,0.059,0.064,0.103,-0.001,0.056
'0:00.384',0.168,0.055,0.059,0.118,0.012,0.057
'0:00.386',0.191,0.060,0.064,0.107,0.010,0.066
'0:00.388',0.199,0.071,0.080,0.070,-0.013,0.080
'0:00.390',0.202,0.085,0.096,0.027,-0.041,0.093
'0:00.392',0.213,0.096,0.105,0.008,-0.050,0.098
'0:00.394',0.204,0.098,0.112,0.026,-0.036,0.096
'0:00.396',0.178,0.092,0.117,0.054,-0.016,0.089
'0:00.398',0.196,0.085,0.112,0.069,-0.005,0.083
'0:00.400',0.207,0.079,0.091,0.066,-0.004,0.078
'0:00.402',0.168,0.076,0.070,0.053,-0.012,0.072
'0:00.404',0.180,0.069,0.062,0.036,-0.027,0.062
'0:00.406',0.157,0.058,0.061,0.024,-0.043,0.048
'0:00.408',0.148,0.046,0.058,0.020,-0.047,0.040
'0:00.410',0.137,0.038,0.046,0.026,-0.041,0.039
'0:00.412',0.106,0.037,0.030,0.032,-0.032,0.041
'0:00.414',0.119,0.040,0.016,0.032,-0.027,0.040
'0:00.416',0.132,0.043,0.007,0.032,-0.024,0.040
'0:00.418',0.120,0.043,0.010,0.039,-0.021,0.038
'0:00.420',0.100,0.037,0.015,0.053,-0.021,0.035
'0:00.422',0.101,0.031,0.014,0.064,-0.021,0.031
'0:00.424',0.116,0.030,0.005,0.065,-0.022,0.031
'0:00.426',0.123,0.038,-0.001,0.056,-0.023,0.038
'0:00.428',0.133,0.046,0.008,0.058,-0.017,0.048
'0:00.430',0.173,0.054,0.031,0.079,0.001,0.059
'0:00.432',0.164,0.065,0.059,0.106,0.019,0.070
'0:00.434',0.166,0.077,0.086,0.114,0.023,0.082
'0:00.436',0.167,0.086,0.100,0.104,0.015,0.089
'0:00.438',0.171,0.087,0.094,0.088,0.007,0.087
'0:00.440',0.203,0.083,0.081,0.075,0.006,0.081
'0:00.442',0.203,0.077,0.073,0.066,-0.001,0.075
'0:00.444',0.192,0.073,0.077,0.058,-0.014,0.071
'0:00.446',0.190,0.074,0.086,0.057,-0.020,0.075
'0:00.448',0.175,0.081,0.089,0.056,-0.016,0.084
'0:00.450',0.170,0.090,0.085,0.050,-0.009,0.093
'0:00.452',0.180,0.095,0.076,0.046,-0.006,0.095
'0:00.454',0.172,0.093,0.072,0.046,-0.010,0.092
'0:00.456',0.166,0.090,0.077,0.047,-0.011,0.088
'0:00.458',0.149,0.086,0.076,0.043,-0.014,0.084
'0:00.460',0.146,0.080,0.063,0.033,-0.019,0.074
'0:00.462',0.146,0.068,0.043,0.029,-0.023,0.058
'0:00.464',0.140,0.051,0.027,0.041,-0.017,0.045
'0:00.466',0.140,0.041,0.021,0.054,-0.005,0.043
'0:00.468',0.148,0.043,0.028,0.047,-0.006,0.049
'0:00.470',0.144,0.057,0.040,0.012,-0.034,0.060
'0:00.472',0.139,0.068,0.052,-0.036,-0.079,0.064
'0:00.474',0.146,0.066,0.059,-0.069,-0.115,0.062
'0:00.476',0.150,0.058,0.063,-0.076,-0.122,0.061
'0:00.478',0.151,0.065,0.066,-0.059,-0.089,0.077
'0:00.480',0.141,0.090,0.065,-0.019,-0.020,0.103
'0:00.482',0.127,0.114,0.052,0.040,0.061,0.118
'0:00.484',0.128,0.116,0.026,0.102,0.124,0.106
'0:00.486',0.164,0.093,0.004,0.152,0.152,0.081
'0:00.488',0.150,0.066,0.009,0.169,0.143,0.059
'0:00.490',0.122,0.051,0.041,0.149,0.104,0.049
'0:00.492',0.100,0.047,0.066,0.096,0.047,0.048
'0:00.494',0.122,0.049,0.057,0.032,-0.007,0.051
'0:00.496',0.123,0.050,0.028,-0.010,-0.037,0.049
'0:00.498',0.135,0.045,0.013,-0.020,-0.046,0.043
'0:00.500',0.122,0.037,0.023,-0.012,-0.046,0.034
'0:00.502',0.140,0.033,0.033,-0.008,-0.045,0.031
'0:00.504',0.133,0.031,0.033,-0.003,-0.040,0.031
'0:00.506',0.110,0.031,0.029,0.009,-0.027,0.031
'0:00.508',0.114,0.034,0.030,0.014,-0.015,0.037
'0:00.510',0.136,0.043,0.036,0.002,-0.006,0.049
'0:00.512',0.132,0.055,0.042,-0.018,-0.008,0.059
'0:00.514',0.107,0.060,0.045,-0.034,-0.020,0.056
'0:00.516',0.098,0.052,0.037,-0.048,-0.041,0.041
'0:00.518',0.079,0.032,0.017,-0.065,-0.065,0.018
'0:00.520',0.083,0.007,-0.011,-0.072,-0.072,-0.001
'0:00.522',0.090,-0.010,-0.036,-0.059,-0.060,-0.011
'0:00.524',0.086,-0.013,-0.043,-0.037,-0.042,-0.010
'0:00.526',0.063,-0.006,-0.033,-0.028,-0.034,-0.002
'0:00.528',0.054,0.004,-0.016,-0.037,-0.034,0.008
'0:00.530',0.057,0.011,-0.012,-0.046,-0.037,0.011
'0:00.532',0.045,0.009,-0.021,-0.044,-0.042,0.008
'0:00.534',0.060,0.004,-0.029,-0.031,-0.046,-0.001
'0:00.536',0.064,-0.002,-0.033,-0.023,-0.052,-0.008
'0:00.538',0.069,-0.008,-0.035,-0.027,-0.061,-0.011
'0:00.540',0.046,-0.015,-0.033,-0.038,-0.065,-0.016
'0:00.542',0.063,-0.022,-0.035,-0.038,-0.056,-0.020
'0:00.544',0.069,-0.022,-0.041,-0.026,-0.040,-0.020
'0:00.546',0.083,-0.014,-0.033,-0.018,-0.031,-0.010
'0:00.548',0.068,0.000,-0.007,-0.022,-0.032,0.006
'0:00.550',0.071,0.014,0.012,-0.030,-0.031,0.021
'0:00.552',0.089,0.026,0.011,-0.024,-0.020,0.029
'0:00.554',0.093,0.029,0.001,-0.008,-0.004,0.029
'0:00.556',0.075,0.026,-0.002,0.009,0.003,0.023
'0:00.558',0.091,0.019,0.002,0.015,0.002,0.018
'0:00.560',0.106,0.016,0.005,0.011,-0.005,0.015
'0:00.562',0.095,0.014,0.001,0.001,-0.012,0.015
'0:00.564',0.081,0.013,-0.003,-0.005,-0.019,0.014
'0:00.566',0.087,0.014,0.001,-0.008,-0.020,0.016
'0:00.568',0.104,0.018,0.010,-0.009,-0.012,0.023
'0:00.570',0.090,0.026,0.018,-0.010,-0.004,0.031
'0:00.572',0.083,0.033,0.021,-0.009,0.001,0.031
'0:00.574',0.084,0.029,0.013,-0.008,0.001,0.022
'0:00.576',0.081,0.016,-0.002,-0.008,-0.001,0.010
'0:00.578',0.090,0.006,-0.011,-0.008,-0.002,0.005
'0:00.580',0.086,0.005,-0.007,-0.007,-0.005,0.003
'0:00.582',0.060,0.004,-0.002,-0.002,-0.009,-0.001
'0:00.584',0.062,-0.002,-0.009,0.000,-0.012,-0.005
'0:00.586',0.051,-0.008,-0.027,-0.008,-0.013,-0.005
'0:00.588',0.056,-0.006,-0.039,-0.027,-0.016,0.000
'0:00.590',0.064,0.003,-0.037,-0.044,-0.026,0.005
'0:00.592',0.069,0.006,-0.026,-0.045,-0.033,0.005
'0:00.594',0.060,0.003,-0.014,-0.036,-0.035,0.001
'0:00.596',0.056,-0.003,-0.010,-0.027,-0.032,-0.003
'0:00.598',0.079,-0.006,-0.012,-0.019,-0.027,-0.005
'0:00.600',0.092,-0.004,-0.010,-0.014,-0.021,-0.001
'0:00.602',0.107,0.006,0.005,-0.014,-0.012,0.012
'0:00.604',0.116,0.018,0.027,-0.016,-0.005,0.024
'0:00.606',0.113,0.026,0.044,-0.016,-0.004,0.029
'0:00.608',0.138,0.029,0.051,-0.018,-0.005,0.031
'0:00.610',0.146,0.033,0.055,-0.022,-0.008,0.036
'0:00.612',0.139,0.037,0.068,-0.027,-0.010,0.038
'0:00.614',0.144,0.039,0.082,-0.018,-0.008,0.034
'0:00.616',0.154,0.033,0.085,0.004,0.002,0.028
'0:00.618',0.119,0.024,0.069,0.024,0.015,0.020
'0:00.620',0.129,0.017,0.048,0.027,0.021,0.016
'0:00.622',0.131,0.019,0.032,0.016,0.020,0.020
'0:00.624',0.147,0.023,0.028,0.004,0.012,0.024
'0:00.626',0.134,0.029,0.043,-0.005,0.001,0.028
'0:00.628',0.088,0.029,0.063,-0.017,-0.010,0.026
'0:00.630',0.084,0.021,0.061,-0.034,-0.021,0.015
'0:00.632',0.069,0.001,0.034,-0.049,-0.037,-0.011
'0:00.634',0.048,-0.028,0.001,-0.069,-0.066,-0.044
'0:00.636',0.022,-0.060,-0.028,-0.108,-0.109,-0.077
'0:00.638',-0.017,-0.092,-0.063,-0.152,-0.152,-0.113
'0:00.640',-0.032,-0.131,-0.106,-0.174,-0.182,-0.151
'0:00.642',-0.092,-0.166,-0.148,-0.166,-0.196,-0.180
'0:00.644',-0.121,-0.189,-0.186,-0.146,-0.199,-0.193
'0:00.646',-0.129,-0.196,-0.215,-0.124,-0.194,-0.196
'0:00.648',-0.131,-0.199,-0.232,-0.091,-0.181,-0.199
'0:00.650',-0.125,-0.198,-0.234,-0.037,-0.150,-0.194
'0:00.652',-0.103,-0.183,-0.219,0.042,-0.092,-0.167
'0:00.654',-0.017,-0.141,-0.186,0.139,-0.001,-0.110
'0:00.656',0.022,-0.067,-0.124,0.239,0.114,-0.020
'0:00.658',0.085,0.033,-0.033,0.323,0.229,0.083
'0:00.660',0.168,0.135,0.063,0.378,0.329,0.182
'0:00.662',0.243,0.227,0.142,0.406,0.410,0.270
'0:00.664',0.311,0.307,0.214,0.416,0.472,0.342
'0:00.666',0.353,0.369,0.284,0.411,0.512,0.393
'0:00.668',0.411,0.409,0.337,0.386,0.524,0.419
'0:00.670',0.454,0.427,0.363,0.342,0.511,0.426
'0:00.672',0.467,0.424,0.375,0.296,0.485,0.417
'0:00.674',0.464,0.407,0.383,0.262,0.452,0.397
'0:00.676',0.453,0.385,0.394,0.230,0.411,0.373
'0:00.678',0.431,0.361,0.393,0.190,0.361,0.351
'0:00.680',0.403,0.340,0.372,0.149,0.318,0.327
'0:00.682',0.341,0.314,0.328,0.123,0.290,0.299
'0:00.684',0.332,0.282,0.279,0.106,0.261,0.263
'0:00.686',0.303,0.245,0.234,0.082,0.224,0.225
'0:00.688',0.256,0.210,0.199,0.050,0.182,0.190
'0:00.690',0.220,0.174,0.169,0.021,0.144,0.159
'0:00.692',0.192,0.143,0.141,0.006,0.113,0.131
'0:00.694',0.136,0.116,0.112,0.001,0.087,0.104
'0:00.696',0.104,0.089,0.082,0.000,0.068,0.077
'0:00.698',0.101,0.060,0.049,0.002,0.055,0.048
'0:00.700',0.071,0.032,0.012,0.006,0.044,0.020
'0:00.702',0.064,0.006,-0.016,0.001,0.030,-0.003
'0:00.704',0.046,-0.012,-0.029,-0.014,0.014,-0.018
'0:00.706',0.053,-0.023,-0.031,-0.028,0.000,-0.026
'0:00.708',0.033,-0.030,-0.027,-0.030,-0.005,-0.029
'0:00.710',0.073,-0.029,-0.019,-0.025,-0.001,-0.026
'0:00.712',0.054,-0.021,-0.005,-0.021,0.004,-0.015
'0:00.714',0.081,-0.006,0.017,-0.020,0.007,0.001
'0:00.716',0.093,0.008,0.041,-0.019,0.006,0.013
'0:00.718',0.076,0.014,0.055,-0.014,0.005,0.014
'0:00.720',0.099,0.010,0.051,-0.001,0.008,0.005
'0:00.722',0.111,-0.001,0.037,0.016,0.016,-0.005
'0:00.724',0.115,-0.005,0.029,0.016,0.019,-0.005
'0:00.726',0.136,0.004,0.039,-0.013,0.003,0.010
'0:00.728',0.130,0.021,0.059,-0.057,-0.032,0.028
'0:00.730',0.141,0.036,0.080,-0.092,-0.071,0.038
'0:00.732',0.140,0.043,0.097,-0.108,-0.092,0.046
'0:00.734',0.139,0.052,0.112,-0.104,-0.077,0.061
'0:00.736',0.121,0.073,0.126,-0.076,-0.022,0.087
'0:00.738',0.077,0.099,0.117,-0.021,0.057,0.104
'0:00.740',0.081,0.103,0.072,0.047,0.127,0.091
'0:00.742',0.049,0.074,0.003,0.098,0.164,0.049
'0:00.744',0.049,0.028,-0.056,0.117,0.167,0.007
'0:00.746',0.031,-0.006,-0.075,0.110,0.148,-0.016
'0:00.748',-0.002,-0.019,-0.064,0.086,0.116,-0.023
'0:00.750',-0.002,-0.025,-0.048,0.053,0.072,-0.030
'0:00.752',-0.040,-0.033,-0.042,0.021,0.028,-0.037
'0:00.754',-0.005,-0.036,-0.043,-0.002,0.001,-0.036
'0:00.756',0.009,-0.029,-0.035,-0.015,-0.010,-0.026
'0:00.758',0.036,-0.018,-0.015,-0.018,-0.008,-0.014
'0:00.760',0.039,-0.011,0.004,-0.011,-0.001,-0.007
'0:00.762',0.024,-0.007,0.007,-0.001,0.011,-0.003
'0:00.764',0.030,-0.001,-0.005,0.009,0.031,0.008
'0:00.766',0.041,0.014,-0.021,0.020,0.056,0.023
'0:00.768',0.048,0.029,-0.025,0.025,0.070,0.034
'0:00.770',0.052,0.036,-0.014,0.014,0.059,0.037
'0:00.772',0.041,0.035,0.001,-0.011,0.031,0.034
'0:00.774',0.033,0.031,0.011,-0.034,0.009,0.029
'0:00.776',0.040,0.027,0.015,-0.043,-0.001,0.025
'0:00.778',0.044,0.022,0.017,-0.045,-0.008,0.019
'0:00.780',0.042,0.015,0.021,-0.041,-0.015,0.012
'0:00.782',0.044,0.008,0.019,-0.034,-0.014,0.007
'0:00.784',0.052,0.006,0.010,-0.027,-0.006,0.008
'0:00.786',0.026,0.007,-0.001,-0.030,-0.005,0.008
'0:00.788',0.048,0.006,-0.005,-0.045,-0.015,0.003
'0:00.790',0.042,0.001,-0.004,-0.065,-0.025,-0.001
'0:00.792',0.056,0.000,0.002,-0.075,-0.027,0.003
'0:00.794',0.059,0.007,0.017,-0.071,-0.023,0.011
'0:00.796',0.021,0.014,0.036,-0.066,-0.022,0.015
'0:00.798',0.023,0.014,0.042,-0.066,-0.021,0.013
'0:00.800',0.031,0.010,0.025,-0.066,-0.015,0.007
'0:00.802',0.029,0.003,-0.005,-0.056,-0.002,0.001
'0:00.804',0.029,-0.002,-0.024,-0.036,0.007,-0.004
'0:00.806',0.014,-0.005,-0.026,-0.012,0.014,-0.006
'0:00.808',0.028,-0.005,-0.021,0.002,0.016,-0.003
'0:00.810',0.016,0.001,-0.013,-0.011,0.007,0.006
'0:00.812',-0.014,0.013,-0.005,-0.040,-0.011,0.016
'0:00.814',-0.017,0.019,-0.001,-0.054,-0.022,0.016
'0:00.816',-0.016,0.012,-0.008,-0.038,-0.020,0.004
'0:00.818',-0.025,-0.003,-0.026,-0.018,-0.012,-0.011
'0:00.820',-0.040,-0.021,-0.050,-0.014,-0.020,-0.028
'0:00.822',-0.041,-0.038,-0.075,-0.027,-0.036,-0.043
'0:00.824',-0.044,-0.050,-0.089,-0.036,-0.047,-0.054
'0:00.826',-0.051,-0.054,-0.087,-0.033,-0.045,-0.056
'0:00.828',-0.066,-0.052,-0.078,-0.027,-0.039,-0.053
'0:00.830',-0.081,-0.052,-0.075,-0.025,-0.035,-0.051
'0:00.832',-0.078,-0.052,-0.077,-0.026,-0.036,-0.051
'0:00.834',-0.084,-0.052,-0.083,-0.032,-0.040,-0.054
'0:00.836',-0.087,-0.054,-0.087,-0.043,-0.046,-0.060
'0:00.838',-0.078,-0.062,-0.094,-0.053,-0.055,-0.069
'0:00.840',-0.088,-0.077,-0.104,-0.058,-0.062,-0.083
