'Elapsed time','ECG','Abdomen_1','Abdomen_2','Abdomen_3','Abdomen_4','Abdomen_5'
'0:00.045',-0.065,0.107,0.008,0.002,0.018,0.000
'0:00.046',-0.071,0.107,0.009,0.004,0.022,0.004
'0:00.047',-0.071,0.099,0.011,0.011,0.031,0.016
'0:00.048',-0.067,0.083,0.014,0.022,0.045,0.035
'0:00.049',-0.063,0.062,0.017,0.036,0.060,0.058
'0:00.050',-0.061,0.038,0.021,0.050,0.078,0.085
'0:00.051',-0.062,0.012,0.023,0.065,0.094,0.111
'0:00.052',-0.065,-0.012,0.025,0.079,0.109,0.136
'0:00.053',-0.068,-0.033,0.026,0.088,0.119,0.154
'0:00.054',-0.071,-0.047,0.026,0.094,0.124,0.165
'0:00.055',-0.064,-0.056,0.025,0.096,0.125,0.167
'0:00.056',-0.054,-0.056,0.023,0.092,0.121,0.164
'0:00.057',-0.059,-0.048,0.021,0.085,0.112,0.151
'0:00.058',-0.063,-0.032,0.019,0.073,0.098,0.131
'0:00.059',-0.057,-0.013,0.016,0.060,0.083,0.107
'0:00.060',-0.051,0.011,0.012,0.045,0.065,0.081
'0:00.061',-0.052,0.037,0.009,0.029,0.049,0.054
'0:00.062',-0.056,0.060,0.006,0.017,0.034,0.030
'0:00.063',-0.059,0.080,0.004,0.006,0.023,0.010
'0:00.064',-0.054,0.093,0.002,-0.001,0.016,-0.003
'0:00.065',-0.046,0.099,0.002,-0.004,0.013,-0.009
'0:00.066',-0.046,0.097,0.001,-0.002,0.016,-0.006
'0:00.067',-0.042,0.087,0.002,0.004,0.023,0.006
'0:00.068',-0.035,0.071,0.002,0.012,0.033,0.023
'0:00.069',-0.031,0.051,0.005,0.025,0.046,0.044
'0:00.070',-0.027,0.026,0.006,0.037,0.060,0.066
'0:00.071',-0.026,0.001,0.008,0.050,0.074,0.089
'0:00.072',-0.025,-0.023,0.011,0.061,0.086,0.108
'0:00.073',-0.022,-0.044,0.012,0.070,0.095,0.122
'0:00.074',-0.021,-0.059,0.012,0.076,0.100,0.130
'0:00.075',-0.021,-0.067,0.012,0.075,0.100,0.131
'0:00.076',-0.021,-0.069,0.009,0.071,0.095,0.125
'0:00.077',-0.025,-0.063,0.007,0.063,0.086,0.113
'0:00.078',-0.024,-0.050,0.002,0.050,0.073,0.094
'0:00.079',-0.018,-0.030,-0.002,0.035,0.056,0.071
'0:00.080',-0.019,-0.008,-0.007,0.018,0.038,0.046
'0:00.081',-0.025,0.016,-0.011,0.002,0.021,0.020
'0:00.082',-0.022,0.038,-0.015,-0.014,0.006,-0.003
'0:00.083',-0.017,0.057,-0.018,-0.025,-0.006,-0.022
'0:00.084',-0.018,0.071,-0.019,-0.032,-0.013,-0.034
'0:00.085',-0.021,0.077,-0.020,-0.034,-0.015,-0.038
'0:00.086',-0.022,0.078,-0.018,-0.031,-0.010,-0.035
'0:00.087',-0.025,0.070,-0.016,-0.022,-0.001,-0.022
'0:00.088',-0.031,0.056,-0.011,-0.009,0.011,-0.004
'0:00.089',-0.038,0.037,-0.007,0.006,0.027,0.018
'0:00.090',-0.036,0.014,-0.002,0.023,0.044,0.042
'0:00.091',-0.041,-0.010,0.002,0.040,0.059,0.067
'0:00.092',-0.047,-0.033,0.005,0.055,0.074,0.090
'0:00.093',-0.046,-0.052,0.009,0.066,0.086,0.106
'0:00.094',-0.049,-0.066,0.011,0.075,0.092,0.116
'0:00.095',-0.052,-0.073,0.012,0.077,0.094,0.118
'0:00.096',-0.059,-0.072,0.012,0.076,0.091,0.112
'0:00.097',-0.067,-0.065,0.011,0.069,0.084,0.098
'0:00.098',-0.068,-0.050,0.008,0.057,0.072,0.079
'0:00.099',-0.062,-0.030,0.005,0.043,0.057,0.058
'0:00.100',-0.066,-0.008,0.001,0.028,0.041,0.035
'0:00.101',-0.072,0.017,-0.003,0.012,0.025,0.015
'0:00.102',-0.069,0.039,-0.007,-0.002,0.013,-0.001
'0:00.103',-0.069,0.058,-0.009,-0.013,0.003,-0.011
'0:00.104',-0.071,0.071,-0.011,-0.020,-0.002,-0.015
'0:00.105',-0.077,0.079,-0.011,-0.023,-0.002,-0.012
'0:00.106',-0.082,0.078,-0.009,-0.021,0.003,-0.003
'0:00.107',-0.084,0.071,-0.006,-0.013,0.015,0.013
'0:00.108',-0.090,0.056,-0.003,-0.003,0.027,0.032
'0:00.109',-0.097,0.035,0.001,0.010,0.043,0.055
'0:00.110',-0.097,0.010,0.003,0.024,0.060,0.078
'0:00.111',-0.101,-0.017,0.006,0.036,0.075,0.099
'0:00.112',-0.105,-0.043,0.008,0.048,0.088,0.116
'0:00.113',-0.107,-0.065,0.009,0.057,0.096,0.127
'0:00.114',-0.112,-0.081,0.008,0.063,0.101,0.131
'0:00.115',-0.110,-0.089,0.008,0.065,0.101,0.127
'0:00.116',-0.105,-0.089,0.007,0.063,0.096,0.118
'0:00.117',-0.110,-0.081,0.005,0.057,0.087,0.105
'0:00.118',-0.112,-0.067,0.002,0.047,0.075,0.090
'0:00.119',-0.111,-0.047,-0.001,0.035,0.060,0.073
'0:00.120',-0.116,-0.023,-0.003,0.021,0.045,0.056
'0:00.121',-0.120,0.003,-0.007,0.008,0.030,0.040
'0:00.122',-0.120,0.026,-0.009,-0.005,0.017,0.025
'0:00.123',-0.120,0.046,-0.012,-0.014,0.007,0.014
'0:00.124',-0.120,0.060,-0.014,-0.021,0.002,0.006
'0:00.125',-0.117,0.069,-0.015,-0.023,0.001,0.003
'0:00.126',-0.113,0.069,-0.014,-0.020,0.006,0.006
'0:00.127',-0.108,0.061,-0.012,-0.012,0.015,0.016
'0:00.128',-0.108,0.047,-0.011,-0.003,0.027,0.033
'0:00.129',-0.107,0.027,-0.008,0.011,0.043,0.054
'0:00.130',-0.097,0.003,-0.006,0.026,0.060,0.079
'0:00.131',-0.090,-0.021,-0.002,0.040,0.076,0.103
'0:00.132',-0.090,-0.046,0.000,0.051,0.090,0.124
'0:00.133',-0.092,-0.067,0.002,0.060,0.100,0.140
'0:00.134',-0.098,-0.083,0.004,0.066,0.107,0.149
'0:00.135',-0.102,-0.092,0.004,0.066,0.107,0.151
'0:00.136',-0.096,-0.093,0.003,0.063,0.102,0.145
'0:00.137',-0.094,-0.087,0.001,0.055,0.092,0.133
'0:00.138',-0.095,-0.075,-0.002,0.043,0.080,0.115
'0:00.139',-0.090,-0.056,-0.006,0.029,0.064,0.093
'0:00.140',-0.092,-0.033,-0.009,0.014,0.048,0.071
'0:00.141',-0.100,-0.009,-0.012,-0.001,0.032,0.047
'0:00.142',-0.102,0.015,-0.016,-0.013,0.018,0.028
'0:00.143',-0.107,0.035,-0.017,-0.023,0.009,0.013
'0:00.144',-0.111,0.050,-0.019,-0.029,0.003,0.002
'0:00.145',-0.108,0.058,-0.020,-0.031,0.002,-0.002
'0:00.146',-0.110,0.056,-0.021,-0.029,0.005,0.001
'0:00.147',-0.112,0.047,-0.019,-0.023,0.013,0.012
'0:00.148',-0.116,0.031,-0.018,-0.014,0.025,0.028
'0:00.149',-0.122,0.009,-0.016,-0.002,0.038,0.048
'0:00.150',-0.124,-0.017,-0.015,0.010,0.054,0.071
'0:00.151',-0.130,-0.045,-0.015,0.022,0.068,0.094
'0:00.152',-0.137,-0.071,-0.014,0.032,0.080,0.115
'0:00.153',-0.140,-0.094,-0.013,0.041,0.090,0.131
'0:00.154',-0.136,-0.110,-0.012,0.046,0.096,0.143
'0:00.155',-0.133,-0.120,-0.011,0.049,0.098,0.149
'0:00.156',-0.140,-0.120,-0.011,0.048,0.096,0.150
'0:00.157',-0.148,-0.111,-0.009,0.046,0.093,0.146
'0:00.158',-0.156,-0.094,-0.007,0.041,0.088,0.138
'0:00.159',-0.165,-0.071,-0.005,0.035,0.081,0.127
'0:00.160',-0.168,-0.042,0.000,0.030,0.074,0.117
'0:00.161',-0.162,-0.011,0.006,0.026,0.070,0.108
'0:00.162',-0.156,0.019,0.013,0.025,0.069,0.100
'0:00.163',-0.150,0.049,0.021,0.027,0.069,0.097
'0:00.164',-0.140,0.073,0.030,0.032,0.074,0.097
'0:00.165',-0.127,0.092,0.041,0.043,0.084,0.104
'0:00.166',-0.110,0.104,0.052,0.057,0.096,0.115
'0:00.167',-0.090,0.109,0.065,0.074,0.111,0.130
'0:00.168',-0.067,0.107,0.077,0.094,0.130,0.148
'0:00.169',-0.037,0.102,0.090,0.116,0.148,0.168
'0:00.170',0.002,0.092,0.102,0.137,0.166,0.186
'0:00.171',0.044,0.081,0.113,0.156,0.182,0.202
'0:00.172',0.100,0.071,0.123,0.173,0.194,0.210
'0:00.173',0.170,0.067,0.132,0.185,0.200,0.210
'0:00.174',0.236,0.067,0.139,0.190,0.200,0.200
'0:00.175',0.307,0.078,0.144,0.191,0.193,0.177
'0:00.176',0.387,0.097,0.150,0.186,0.179,0.144
'0:00.177',0.464,0.127,0.153,0.177,0.159,0.100
'0:00.178',0.538,0.165,0.157,0.165,0.135,0.049
'0:00.179',0.619,0.210,0.161,0.150,0.107,-0.008
'0:00.180',0.708,0.259,0.166,0.135,0.079,-0.066
'0:00.181',0.800,0.309,0.171,0.120,0.051,-0.124
'0:00.182',0.891,0.357,0.175,0.105,0.025,-0.178
'0:00.183',0.976,0.399,0.177,0.091,0.000,-0.229
'0:00.184',1.063,0.432,0.177,0.080,-0.021,-0.274
'0:00.185',1.153,0.454,0.174,0.069,-0.039,-0.316
'0:00.186',1.241,0.465,0.168,0.058,-0.055,-0.352
'0:00.187',1.336,0.465,0.160,0.050,-0.070,-0.386
'0:00.188',1.429,0.455,0.151,0.042,-0.084,-0.417
'0:00.189',1.496,0.438,0.141,0.036,-0.098,-0.444
'0:00.190',1.554,0.418,0.135,0.029,-0.112,-0.468
'0:00.191',1.613,0.396,0.128,0.022,-0.126,-0.490
'0:00.192',1.659,0.377,0.124,0.016,-0.141,-0.509
'0:00.193',1.679,0.361,0.122,0.008,-0.156,-0.526
'0:00.194',1.682,0.349,0.122,-0.001,-0.173,-0.540
'0:00.195',1.679,0.341,0.119,-0.011,-0.188,-0.554
'0:00.196',1.653,0.334,0.114,-0.024,-0.203,-0.566
'0:00.197',1.587,0.329,0.105,-0.040,-0.219,-0.576
'0:00.198',1.497,0.322,0.093,-0.057,-0.233,-0.582
'0:00.199',1.410,0.313,0.077,-0.076,-0.246,-0.581
'0:00.200',1.337,0.301,0.057,-0.098,-0.257,-0.576
'0:00.201',1.268,0.285,0.035,-0.120,-0.266,-0.561
'0:00.202',1.178,0.265,0.011,-0.140,-0.272,-0.542
'0:00.203',1.067,0.241,-0.011,-0.158,-0.274,-0.514
'0:00.204',0.955,0.212,-0.033,-0.172,-0.271,-0.483
'0:00.205',0.846,0.181,-0.051,-0.181,-0.264,-0.446
'0:00.206',0.734,0.143,-0.068,-0.183,-0.250,-0.402
'0:00.207',0.624,0.104,-0.080,-0.179,-0.231,-0.356
'0:00.208',0.509,0.060,-0.090,-0.170,-0.207,-0.304
'0:00.209',0.402,0.017,-0.096,-0.154,-0.179,-0.249
'0:00.210',0.316,-0.026,-0.100,-0.136,-0.148,-0.195
'0:00.211',0.222,-0.069,-0.101,-0.116,-0.118,-0.141
'0:00.212',0.115,-0.105,-0.100,-0.096,-0.090,-0.091
'0:00.213',0.026,-0.135,-0.098,-0.076,-0.062,-0.047
'0:00.214',-0.038,-0.156,-0.095,-0.060,-0.042,-0.011
'0:00.215',-0.091,-0.169,-0.091,-0.049,-0.026,0.016
'0:00.216',-0.132,-0.172,-0.088,-0.042,-0.017,0.033
'0:00.217',-0.145,-0.164,-0.084,-0.040,-0.013,0.039
'0:00.218',-0.135,-0.148,-0.079,-0.041,-0.015,0.038
'0:00.219',-0.127,-0.124,-0.076,-0.045,-0.020,0.028
'0:00.220',-0.130,-0.096,-0.071,-0.051,-0.027,0.014
'0:00.221',-0.128,-0.066,-0.066,-0.057,-0.036,-0.003
'0:00.222',-0.126,-0.036,-0.062,-0.063,-0.042,-0.019
'0:00.223',-0.124,-0.010,-0.056,-0.066,-0.048,-0.033
'0:00.224',-0.117,0.010,-0.052,-0.068,-0.049,-0.041
'0:00.225',-0.111,0.022,-0.048,-0.064,-0.047,-0.041
'0:00.226',-0.100,0.024,-0.043,-0.057,-0.040,-0.035
'0:00.227',-0.097,0.019,-0.040,-0.048,-0.028,-0.021
'0:00.228',-0.104,0.005,-0.036,-0.035,-0.014,-0.001
'0:00.229',-0.107,-0.016,-0.034,-0.021,0.003,0.024
'0:00.230',-0.100,-0.041,-0.031,-0.006,0.019,0.049
'0:00.231',-0.096,-0.067,-0.029,0.008,0.035,0.073
'0:00.232',-0.101,-0.093,-0.027,0.021,0.048,0.091
'0:00.233',-0.106,-0.113,-0.025,0.031,0.058,0.104
'0:00.234',-0.113,-0.127,-0.024,0.037,0.065,0.111
'0:00.235',-0.119,-0.134,-0.024,0.040,0.066,0.113
'0:00.236',-0.122,-0.133,-0.024,0.038,0.063,0.111
'0:00.237',-0.126,-0.124,-0.026,0.032,0.056,0.104
'0:00.238',-0.124,-0.108,-0.028,0.023,0.046,0.095
'0:00.239',-0.119,-0.088,-0.032,0.009,0.033,0.084
'0:00.240',-0.123,-0.065,-0.036,-0.006,0.020,0.070
'0:00.241',-0.130,-0.039,-0.040,-0.020,0.007,0.056
'0:00.242',-0.133,-0.016,-0.043,-0.031,-0.005,0.040
'0:00.243',-0.128,0.005,-0.044,-0.041,-0.013,0.025
'0:00.244',-0.121,0.020,-0.046,-0.046,-0.017,0.013
'0:00.245',-0.120,0.029,-0.044,-0.047,-0.017,0.006
'0:00.246',-0.124,0.029,-0.043,-0.044,-0.013,0.006
'0:00.247',-0.120,0.021,-0.039,-0.036,-0.003,0.013
'0:00.248',-0.113,0.006,-0.035,-0.025,0.008,0.026
'0:00.249',-0.116,-0.014,-0.031,-0.011,0.023,0.044
'0:00.250',-0.120,-0.037,-0.027,0.003,0.037,0.065
'0:00.251',-0.115,-0.062,-0.025,0.016,0.051,0.086
'0:00.252',-0.108,-0.086,-0.021,0.028,0.062,0.105
'0:00.253',-0.108,-0.106,-0.021,0.037,0.070,0.118
'0:00.254',-0.112,-0.120,-0.020,0.043,0.074,0.127
'0:00.255',-0.116,-0.128,-0.021,0.045,0.073,0.127
'0:00.256',-0.115,-0.128,-0.023,0.042,0.068,0.121
'0:00.257',-0.117,-0.120,-0.026,0.034,0.059,0.108
'0:00.258',-0.117,-0.105,-0.029,0.025,0.048,0.090
'0:00.259',-0.112,-0.084,-0.032,0.011,0.034,0.071
'0:00.260',-0.116,-0.059,-0.034,-0.005,0.019,0.051
'0:00.261',-0.123,-0.032,-0.037,-0.018,0.006,0.033
'0:00.262',-0.124,-0.008,-0.037,-0.031,-0.006,0.019
'0:00.263',-0.126,0.013,-0.038,-0.041,-0.014,0.009
'0:00.264',-0.120,0.030,-0.037,-0.046,-0.017,0.003
'0:00.265',-0.116,0.039,-0.034,-0.048,-0.017,0.003
'0:00.266',-0.119,0.041,-0.031,-0.043,-0.012,0.008
'0:00.267',-0.119,0.034,-0.027,-0.036,-0.003,0.016
'0:00.268',-0.117,0.022,-0.021,-0.023,0.010,0.030
'0:00.269',-0.117,0.002,-0.016,-0.009,0.025,0.047
'0:00.270',-0.116,-0.021,-0.012,0.006,0.040,0.067
'0:00.271',-0.117,-0.046,-0.009,0.021,0.055,0.088
'0:00.272',-0.115,-0.070,-0.006,0.034,0.067,0.106
'0:00.273',-0.111,-0.092,-0.005,0.044,0.077,0.121
'0:00.274',-0.109,-0.107,-0.005,0.049,0.081,0.130
'0:00.275',-0.106,-0.116,-0.006,0.051,0.082,0.133
'0:00.276',-0.097,-0.117,-0.008,0.048,0.078,0.131
'0:00.277',-0.091,-0.111,-0.011,0.040,0.069,0.122
'0:00.278',-0.090,-0.098,-0.014,0.029,0.058,0.107
'0:00.279',-0.092,-0.078,-0.017,0.015,0.042,0.087
'0:00.280',-0.097,-0.055,-0.019,0.002,0.027,0.065
'0:00.281',-0.096,-0.028,-0.022,-0.012,0.011,0.041
'0:00.282',-0.091,-0.004,-0.023,-0.023,-0.001,0.020
'0:00.283',-0.097,0.017,-0.024,-0.031,-0.011,0.002
'0:00.284',-0.101,0.034,-0.023,-0.036,-0.017,-0.009
'0:00.285',-0.101,0.043,-0.023,-0.036,-0.017,-0.013
'0:00.286',-0.096,0.045,-0.021,-0.032,-0.014,-0.010
'0:00.287',-0.091,0.038,-0.018,-0.025,-0.005,0.001
'0:00.288',-0.090,0.024,-0.015,-0.013,0.007,0.018
'0:00.289',-0.093,0.005,-0.012,0.001,0.023,0.038
'0:00.290',-0.094,-0.019,-0.009,0.015,0.038,0.060
'0:00.291',-0.092,-0.045,-0.005,0.030,0.053,0.082
'0:00.292',-0.093,-0.069,-0.003,0.044,0.067,0.101
'0:00.293',-0.097,-0.090,-0.001,0.054,0.077,0.117
'0:00.294',-0.100,-0.105,0.001,0.061,0.082,0.126
'0:00.295',-0.100,-0.114,0.001,0.063,0.084,0.130
'0:00.296',-0.099,-0.114,0.001,0.062,0.080,0.126
'0:00.297',-0.101,-0.108,0.000,0.056,0.071,0.116
'0:00.298',-0.100,-0.094,-0.003,0.045,0.059,0.099
'0:00.299',-0.097,-0.074,-0.006,0.032,0.044,0.078
'0:00.300',-0.097,-0.051,-0.009,0.019,0.027,0.054
'0:00.301',-0.093,-0.026,-0.013,0.005,0.013,0.029
'0:00.302',-0.087,-0.002,-0.015,-0.008,0.000,0.006
'0:00.303',-0.086,0.019,-0.017,-0.019,-0.009,-0.013
'0:00.304',-0.090,0.035,-0.017,-0.025,-0.014,-0.024
'0:00.305',-0.091,0.043,-0.016,-0.028,-0.015,-0.028
'0:00.306',-0.092,0.045,-0.015,-0.026,-0.009,-0.026
'0:00.307',-0.086,0.039,-0.011,-0.019,0.001,-0.016
'0:00.308',-0.086,0.025,-0.007,-0.008,0.013,0.001
'0:00.309',-0.096,0.006,-0.003,0.006,0.029,0.021
'0:00.310',-0.091,-0.017,0.002,0.021,0.044,0.044
'0:00.311',-0.085,-0.042,0.006,0.034,0.059,0.068
'0:00.312',-0.090,-0.065,0.008,0.047,0.071,0.090
'0:00.313',-0.097,-0.085,0.011,0.057,0.081,0.108
'0:00.314',-0.093,-0.100,0.012,0.063,0.087,0.121
'0:00.315',-0.090,-0.108,0.012,0.064,0.088,0.126
'0:00.316',-0.090,-0.108,0.012,0.060,0.082,0.124
'0:00.317',-0.097,-0.101,0.010,0.052,0.074,0.115
'0:00.318',-0.100,-0.086,0.008,0.042,0.062,0.098
'0:00.319',-0.094,-0.065,0.005,0.028,0.048,0.076
'0:00.320',-0.098,-0.040,0.002,0.013,0.034,0.053
'0:00.321',-0.103,-0.015,0.001,0.000,0.019,0.029
'0:00.322',-0.102,0.010,-0.001,-0.013,0.007,0.007
'0:00.323',-0.101,0.032,-0.002,-0.022,-0.002,-0.011
'0:00.324',-0.102,0.047,-0.001,-0.027,-0.007,-0.022
'0:00.325',-0.105,0.056,-0.001,-0.028,-0.006,-0.027
'0:00.326',-0.102,0.057,0.001,-0.026,-0.003,-0.025
'0:00.327',-0.102,0.051,0.005,-0.017,0.007,-0.016
'0:00.328',-0.108,0.037,0.008,-0.006,0.019,-0.001
'0:00.329',-0.114,0.017,0.011,0.007,0.034,0.017
'0:00.330',-0.111,-0.006,0.015,0.022,0.049,0.040
'0:00.331',-0.109,-0.030,0.018,0.036,0.064,0.063
'0:00.332',-0.112,-0.054,0.021,0.048,0.076,0.083
'0:00.333',-0.111,-0.074,0.023,0.058,0.086,0.100
'0:00.334',-0.107,-0.089,0.023,0.064,0.092,0.112
'0:00.335',-0.102,-0.098,0.023,0.066,0.093,0.117
'0:00.336',-0.102,-0.098,0.023,0.062,0.090,0.115
'0:00.337',-0.105,-0.090,0.020,0.054,0.080,0.104
'0:00.338',-0.106,-0.074,0.017,0.044,0.066,0.088
'0:00.339',-0.102,-0.054,0.015,0.030,0.052,0.066
'0:00.340',-0.101,-0.030,0.011,0.016,0.036,0.040
'0:00.341',-0.102,-0.004,0.008,0.002,0.020,0.016
'0:00.342',-0.098,0.019,0.007,-0.011,0.007,-0.005
'0:00.343',-0.095,0.041,0.005,-0.020,-0.003,-0.021
'0:00.344',-0.097,0.056,0.003,-0.026,-0.009,-0.030
'0:00.345',-0.101,0.064,0.003,-0.028,-0.010,-0.031
'0:00.346',-0.102,0.064,0.003,-0.026,-0.006,-0.026
'0:00.347',-0.097,0.057,0.005,-0.019,0.003,-0.014
'0:00.348',-0.095,0.043,0.006,-0.008,0.014,0.003
'0:00.349',-0.091,0.023,0.009,0.005,0.028,0.023
'0:00.350',-0.086,0.000,0.012,0.021,0.043,0.044
'0:00.351',-0.078,-0.025,0.015,0.036,0.058,0.064
'0:00.352',-0.078,-0.047,0.018,0.050,0.070,0.081
'0:00.353',-0.082,-0.067,0.021,0.062,0.080,0.094
'0:00.354',-0.086,-0.081,0.022,0.070,0.086,0.103
'0:00.355',-0.084,-0.089,0.023,0.073,0.086,0.105
'0:00.356',-0.079,-0.088,0.021,0.071,0.083,0.103
'0:00.357',-0.077,-0.081,0.019,0.064,0.074,0.093
'0:00.358',-0.073,-0.066,0.015,0.052,0.061,0.079
'0:00.359',-0.066,-0.046,0.012,0.037,0.047,0.058
'0:00.360',-0.067,-0.022,0.008,0.021,0.029,0.034
'0:00.361',-0.067,0.003,0.005,0.007,0.012,0.008
'0:00.362',-0.063,0.027,0.001,-0.008,-0.005,-0.016
'0:00.363',-0.063,0.047,-0.001,-0.019,-0.016,-0.036
'0:00.364',-0.062,0.062,-0.003,-0.026,-0.025,-0.051
'0:00.365',-0.055,0.070,-0.005,-0.028,-0.027,-0.060
'0:00.366',-0.051,0.071,-0.004,-0.027,-0.026,-0.061
'0:00.367',-0.053,0.065,-0.002,-0.021,-0.020,-0.056
'0:00.368',-0.056,0.051,-0.001,-0.010,-0.009,-0.044
'0:00.369',-0.055,0.032,0.002,0.004,0.005,-0.029
'0:00.370',-0.049,0.010,0.006,0.017,0.019,-0.010
'0:00.371',-0.044,-0.015,0.009,0.032,0.034,0.008
'0:00.372',-0.043,-0.038,0.011,0.045,0.046,0.026
'0:00.373',-0.039,-0.059,0.011,0.053,0.055,0.040
'0:00.374',-0.033,-0.073,0.011,0.059,0.060,0.052
'0:00.375',-0.032,-0.082,0.010,0.059,0.059,0.058
'0:00.376',-0.032,-0.084,0.007,0.054,0.053,0.056
'0:00.377',-0.034,-0.077,0.004,0.045,0.044,0.049
'0:00.378',-0.032,-0.063,-0.001,0.032,0.029,0.034
'0:00.379',-0.028,-0.044,-0.003,0.018,0.014,0.013
'0:00.380',-0.029,-0.019,-0.006,0.004,-0.003,-0.013
'0:00.381',-0.031,0.008,-0.008,-0.010,-0.017,-0.038
'0:00.382',-0.028,0.033,-0.008,-0.021,-0.030,-0.065
'0:00.383',-0.020,0.056,-0.007,-0.029,-0.039,-0.085
'0:00.384',-0.014,0.073,-0.006,-0.033,-0.045,-0.100
'0:00.385',-0.019,0.084,-0.005,-0.034,-0.045,-0.106
'0:00.386',-0.019,0.086,-0.001,-0.029,-0.041,-0.103
'0:00.387',-0.010,0.080,0.002,-0.021,-0.031,-0.090
'0:00.388',-0.004,0.067,0.005,-0.011,-0.019,-0.067
'0:00.389',-0.004,0.048,0.008,0.003,-0.005,-0.041
'0:00.390',0.001,0.024,0.009,0.016,0.011,-0.012
'0:00.391',0.006,-0.001,0.012,0.031,0.026,0.015
'0:00.392',0.004,-0.025,0.013,0.042,0.037,0.036
'0:00.393',0.007,-0.045,0.015,0.052,0.046,0.051
'0:00.394',0.015,-0.060,0.016,0.057,0.051,0.057
'0:00.395',0.019,-0.067,0.015,0.060,0.050,0.056
'0:00.396',0.019,-0.067,0.015,0.056,0.045,0.047
'0:00.397',0.020,-0.059,0.012,0.050,0.036,0.035
'0:00.398',0.022,-0.044,0.011,0.040,0.023,0.015
'0:00.399',0.032,-0.023,0.009,0.026,0.009,-0.007
'0:00.400',0.036,0.004,0.008,0.011,-0.007,-0.029
'0:00.401',0.035,0.032,0.006,-0.003,-0.022,-0.053
'0:00.402',0.038,0.058,0.005,-0.014,-0.035,-0.074
'0:00.403',0.038,0.081,0.005,-0.025,-0.043,-0.091
'0:00.404',0.035,0.100,0.004,-0.031,-0.048,-0.103
'0:00.405',0.038,0.110,0.005,-0.032,-0.049,-0.108
'0:00.406',0.039,0.112,0.005,-0.029,-0.044,-0.106
'0:00.407',0.039,0.106,0.008,-0.023,-0.035,-0.096
'0:00.408',0.034,0.093,0.011,-0.012,-0.022,-0.081
'0:00.409',0.025,0.073,0.014,0.000,-0.006,-0.060
'0:00.410',0.026,0.047,0.017,0.014,0.009,-0.035
'0:00.411',0.023,0.021,0.020,0.029,0.026,-0.009
