'Elapsed time','1','1_DOCFILT-4-0.08-4','1_DOCFILT-4-0.3-3','1_DOCFILT-4-0.3-4','2','2_DOCFILT-4-0.08-4','2_DOCFILT-4-0.3-3','2_DOCFILT-4-0.3-4','3','3_DOCFILT-4-0.08-4','3_DOCFILT-4-0.3-3','3_DOCFILT-4-0.3-4'
'0:03.050',0.045,0.012,0.011,0.012,0.028,0.016,0.010,0.010,-0.086,-0.001,0.003,0.002
'0:03.100',0.036,0.005,0.007,0.005,0.025,0.013,0.007,0.007,-0.083,0.002,0.003,0.004
'0:03.150',0.031,0.000,0.004,0.002,0.021,0.009,0.004,0.003,-0.083,0.001,0.002,0.003
'0:03.200',0.032,-0.001,0.002,0.002,0.017,0.004,-0.001,-0.001,-0.089,-0.001,0.001,0.000
'0:03.250',0.033,-0.002,0.000,0.002,0.014,0.000,-0.005,-0.005,-0.092,-0.003,-0.001,-0.003
'0:03.300',0.026,-0.005,-0.002,-0.001,0.009,-0.004,-0.009,-0.009,-0.092,-0.004,-0.003,-0.004
'0:03.350',0.018,-0.012,-0.006,-0.006,0.005,-0.007,-0.012,-0.012,-0.090,-0.003,-0.004,-0.003
'0:03.400',0.014,-0.018,-0.011,-0.012,0.004,-0.011,-0.016,-0.016,-0.092,-0.003,-0.005,-0.004
'0:03.450',0.009,-0.023,-0.016,-0.016,0.001,-0.014,-0.019,-0.019,-0.095,-0.004,-0.005,-0.005
'0:03.500',0.005,-0.027,-0.020,-0.019,-0.003,-0.017,-0.022,-0.022,-0.095,-0.005,-0.006,-0.006
'0:03.550',-0.000,-0.031,-0.023,-0.023,-0.005,-0.020,-0.025,-0.025,-0.096,-0.005,-0.007,-0.007
'0:03.600',-0.004,-0.035,-0.025,-0.026,-0.007,-0.023,-0.027,-0.028,-0.097,-0.006,-0.009,-0.008
'0:03.650',-0.007,-0.036,-0.027,-0.027,-0.009,-0.025,-0.030,-0.030,-0.098,-0.008,-0.011,-0.010
'0:03.700',-0.010,-0.038,-0.030,-0.028,-0.012,-0.026,-0.032,-0.031,-0.101,-0.010,-0.012,-0.013
'0:03.750',-0.006,-0.040,-0.033,-0.031,-0.011,-0.027,-0.032,-0.032,-0.108,-0.011,-0.013,-0.014
'0:03.800',-0.014,-0.044,-0.034,-0.034,-0.010,-0.026,-0.032,-0.031,-0.102,-0.010,-0.013,-0.013
'0:03.850',-0.019,-0.045,-0.033,-0.035,-0.008,-0.024,-0.029,-0.030,-0.099,-0.007,-0.011,-0.010
'0:03.900',-0.012,-0.040,-0.028,-0.030,-0.004,-0.020,-0.024,-0.025,-0.099,-0.005,-0.010,-0.009
'0:03.950',0.001,-0.029,-0.019,-0.019,0.003,-0.013,-0.018,-0.019,-0.100,-0.004,-0.008,-0.008
'0:04.000',0.011,-0.019,-0.011,-0.009,0.011,-0.006,-0.012,-0.012,-0.100,-0.003,-0.006,-0.007
'0:04.050',0.014,-0.013,-0.005,-0.003,0.017,-0.001,-0.007,-0.006,-0.095,-0.000,-0.005,-0.005
'0:04.100',0.014,-0.012,-0.002,-0.002,0.019,0.002,-0.005,-0.005,-0.093,0.002,-0.003,-0.002
'0:04.150',0.015,-0.013,-0.002,-0.003,0.018,0.001,-0.005,-0.005,-0.095,0.003,-0.003,-0.002
'0:04.200',0.014,-0.012,-0.002,-0.003,0.018,0.000,-0.006,-0.006,-0.095,0.002,-0.003,-0.003
'0:04.250',0.016,-0.010,-0.002,-0.001,0.020,0.001,-0.005,-0.006,-0.096,0.001,-0.002,-0.004
'0:04.300',0.019,-0.007,0.001,0.002,0.022,0.003,-0.004,-0.004,-0.096,0.003,-0.002,-0.002
'0:04.350',0.024,-0.003,0.006,0.005,0.026,0.007,0.000,0.000,-0.093,0.006,-0.000,0.000
'0:04.400',0.027,0.002,0.011,0.010,0.031,0.012,0.004,0.004,-0.092,0.007,0.001,0.002
'0:04.450',0.029,0.007,0.014,0.015,0.035,0.016,0.008,0.008,-0.089,0.008,0.002,0.002
'0:04.500',0.038,0.010,0.015,0.017,0.039,0.019,0.010,0.011,-0.095,0.008,0.003,0.002
'0:04.550',0.034,0.008,0.014,0.015,0.040,0.020,0.012,0.012,-0.093,0.009,0.005,0.004
'0:04.600',0.026,0.005,0.012,0.011,0.040,0.020,0.013,0.012,-0.087,0.012,0.006,0.006
'0:04.650',0.025,0.003,0.011,0.009,0.041,0.022,0.014,0.013,-0.086,0.014,0.007,0.008
'0:04.700',0.029,0.006,0.012,0.012,0.045,0.024,0.016,0.015,-0.088,0.014,0.008,0.008
'0:04.750',0.036,0.011,0.014,0.016,0.047,0.026,0.017,0.018,-0.091,0.012,0.007,0.007
'0:04.800',0.035,0.012,0.015,0.017,0.048,0.027,0.018,0.019,-0.092,0.012,0.007,0.006
'0:04.850',0.031,0.011,0.015,0.015,0.047,0.026,0.018,0.018,-0.089,0.012,0.006,0.006
'0:04.900',0.030,0.009,0.014,0.012,0.046,0.025,0.017,0.016,-0.091,0.012,0.006,0.006
'0:04.950',0.028,0.007,0.011,0.011,0.045,0.024,0.016,0.015,-0.093,0.011,0.006,0.005
'0:05.000',0.028,0.007,0.009,0.010,0.044,0.023,0.015,0.015,-0.094,0.010,0.006,0.005
'0:05.050',0.026,0.006,0.009,0.009,0.046,0.024,0.015,0.016,-0.094,0.010,0.005,0.005
'0:05.100',0.025,0.005,0.009,0.008,0.046,0.024,0.016,0.016,-0.093,0.011,0.005,0.006
'0:05.150',0.025,0.006,0.010,0.009,0.045,0.023,0.016,0.016,-0.095,0.010,0.004,0.005
'0:05.200',0.023,0.008,0.010,0.010,0.044,0.023,0.016,0.016,-0.096,0.008,0.004,0.003
'0:05.250',0.029,0.009,0.010,0.011,0.044,0.022,0.016,0.016,-0.101,0.006,0.003,0.002
'0:05.300',0.026,0.007,0.008,0.009,0.046,0.022,0.016,0.016,-0.100,0.007,0.004,0.003
'0:05.350',0.019,0.003,0.006,0.005,0.044,0.021,0.015,0.015,-0.095,0.010,0.005,0.006
'0:05.400',0.015,0.000,0.005,0.003,0.041,0.019,0.015,0.014,-0.095,0.010,0.005,0.006
'0:05.450',0.018,0.002,0.006,0.005,0.040,0.018,0.015,0.014,-0.099,0.009,0.005,0.005
'0:05.500',0.024,0.007,0.008,0.009,0.042,0.018,0.015,0.015,-0.101,0.007,0.005,0.004
'0:05.550',0.025,0.010,0.011,0.012,0.042,0.018,0.015,0.015,-0.101,0.006,0.004,0.003
'0:05.600',0.023,0.010,0.012,0.012,0.040,0.016,0.013,0.014,-0.101,0.006,0.003,0.004
'0:05.650',0.020,0.008,0.011,0.010,0.036,0.013,0.011,0.011,-0.102,0.006,0.003,0.004
'0:05.700',0.018,0.006,0.009,0.009,0.033,0.009,0.008,0.008,-0.104,0.005,0.002,0.002
'0:05.750',0.018,0.004,0.007,0.007,0.031,0.006,0.005,0.005,-0.106,0.003,0.002,0.001
'0:05.800',0.014,0.001,0.004,0.005,0.026,0.002,0.002,0.002,-0.107,0.002,0.001,0.000
'0:05.850',0.009,-0.002,0.001,0.001,0.023,-0.001,-0.001,-0.001,-0.108,0.002,-0.001,0.000
'0:05.900',0.005,-0.005,-0.000,-0.002,0.020,-0.005,-0.004,-0.004,-0.109,0.001,-0.002,-0.001
'0:05.950',0.003,-0.006,-0.002,-0.002,0.017,-0.008,-0.007,-0.007,-0.110,-0.002,-0.004,-0.004
'0:06.000',0.004,-0.006,-0.004,-0.003,0.013,-0.012,-0.011,-0.010,-0.116,-0.004,-0.005,-0.006
'0:06.050',0.003,-0.009,-0.007,-0.006,0.010,-0.016,-0.014,-0.014,-0.117,-0.004,-0.004,-0.006
'0:06.100',-0.007,-0.015,-0.012,-0.012,0.006,-0.020,-0.018,-0.018,-0.112,-0.002,-0.004,-0.003
'0:06.150',-0.014,-0.021,-0.015,-0.017,0.001,-0.024,-0.022,-0.022,-0.110,-0.000,-0.003,-0.002
'0:06.200',-0.016,-0.023,-0.018,-0.019,-0.002,-0.027,-0.025,-0.025,-0.113,-0.002,-0.004,-0.003
'0:06.250',-0.014,-0.022,-0.019,-0.019,-0.002,-0.029,-0.027,-0.027,-0.119,-0.005,-0.006,-0.006
'0:06.300',-0.014,-0.022,-0.020,-0.018,-0.004,-0.030,-0.029,-0.028,-0.121,-0.007,-0.007,-0.009
'0:06.350',-0.019,-0.024,-0.021,-0.020,-0.006,-0.031,-0.030,-0.030,-0.118,-0.007,-0.008,-0.008
'0:06.400',-0.023,-0.027,-0.024,-0.024,-0.006,-0.032,-0.031,-0.031,-0.118,-0.006,-0.008,-0.007
'0:06.450',-0.024,-0.029,-0.026,-0.026,-0.006,-0.033,-0.031,-0.032,-0.119,-0.005,-0.008,-0.007
'0:06.500',-0.025,-0.029,-0.026,-0.027,-0.005,-0.032,-0.031,-0.031,-0.120,-0.006,-0.008,-0.009
'0:06.550',-0.023,-0.027,-0.025,-0.024,-0.002,-0.029,-0.028,-0.028,-0.121,-0.007,-0.009,-0.009
'0:06.600',-0.019,-0.022,-0.020,-0.021,0.003,-0.024,-0.024,-0.024,-0.121,-0.007,-0.009,-0.009
'0:06.650',-0.014,-0.016,-0.014,-0.015,0.009,-0.018,-0.020,-0.019,-0.120,-0.005,-0.009,-0.008
'0:06.700',-0.008,-0.009,-0.008,-0.008,0.015,-0.012,-0.014,-0.014,-0.119,-0.005,-0.008,-0.008
'0:06.750',-0.003,-0.002,-0.003,-0.002,0.020,-0.006,-0.009,-0.009,-0.117,-0.004,-0.007,-0.008
'0:06.800',0.005,0.002,0.000,0.001,0.027,-0.001,-0.004,-0.004,-0.120,-0.003,-0.005,-0.006
'0:06.850',0.003,0.003,0.002,0.002,0.032,0.004,0.000,0.000,-0.114,0.001,-0.003,-0.003
'0:06.900',0.001,0.003,0.003,0.001,0.035,0.008,0.004,0.003,-0.109,0.005,-0.001,0.000
'0:06.950',0.002,0.005,0.004,0.003,0.040,0.012,0.006,0.006,-0.108,0.007,0.001,0.002
'0:07.000',0.008,0.009,0.006,0.006,0.043,0.016,0.009,0.009,-0.109,0.008,0.003,0.002
'0:07.050',0.012,0.013,0.008,0.010,0.047,0.019,0.011,0.011,-0.109,0.009,0.005,0.003
'0:07.100',0.010,0.014,0.009,0.010,0.050,0.022,0.012,0.013,-0.104,0.012,0.006,0.006
'0:07.150',0.009,0.013,0.009,0.009,0.051,0.023,0.013,0.013,-0.101,0.015,0.007,0.008
'0:07.200',0.008,0.013,0.008,0.007,0.051,0.023,0.013,0.012,-0.101,0.015,0.008,0.008
'0:07.250',0.008,0.013,0.007,0.007,0.051,0.023,0.012,0.012,-0.103,0.014,0.007,0.007
'0:07.300',0.008,0.013,0.006,0.007,0.052,0.024,0.012,0.012,-0.105,0.013,0.006,0.005
'0:07.350',0.008,0.013,0.005,0.006,0.053,0.025,0.011,0.012,-0.105,0.013,0.005,0.005
'0:07.400',0.005,0.012,0.005,0.004,0.055,0.026,0.011,0.012,-0.104,0.014,0.004,0.005
'0:07.450',0.005,0.012,0.005,0.004,0.055,0.026,0.011,0.011,-0.106,0.013,0.003,0.004
'0:07.500',0.003,0.014,0.005,0.005,0.054,0.026,0.011,0.011,-0.105,0.011,0.002,0.002
'0:07.550',0.010,0.015,0.005,0.006,0.055,0.027,0.011,0.011,-0.112,0.009,0.001,-0.000
'0:07.600',0.006,0.014,0.003,0.004,0.057,0.027,0.010,0.010,-0.112,0.009,0.001,-0.000
'0:07.650',-0.001,0.010,0.001,0.001,0.055,0.026,0.008,0.009,-0.106,0.011,0.001,0.001
'0:07.700',-0.003,0.009,0.001,-0.001,0.053,0.025,0.007,0.007,-0.107,0.012,0.000,0.002
'0:07.750',0.000,0.011,0.001,0.001,0.052,0.024,0.006,0.006,-0.110,0.010,-0.000,0.000
'0:07.800',0.005,0.014,0.003,0.004,0.053,0.024,0.005,0.005,-0.114,0.008,-0.001,-0.002
'0:07.850',0.004,0.017,0.005,0.006,0.053,0.024,0.005,0.005,-0.112,0.008,-0.001,-0.002
'0:07.900',0.004,0.017,0.006,0.006,0.052,0.023,0.004,0.005,-0.110,0.009,-0.001,-0.001
'0:07.950',0.003,0.016,0.006,0.006,0.050,0.022,0.003,0.003,-0.110,0.010,-0.001,0.000
'0:08.000',0.002,0.016,0.005,0.005,0.049,0.020,0.002,0.002,-0.112,0.010,-0.000,-0.000
'0:08.050',0.001,0.015,0.004,0.005,0.048,0.019,0.001,0.001,-0.112,0.009,0.000,-0.001
'0:08.100',-0.000,0.014,0.003,0.004,0.047,0.018,0.000,0.000,-0.113,0.009,0.000,-0.000
'0:08.150',-0.002,0.013,0.004,0.003,0.047,0.017,0.000,0.000,-0.111,0.009,-0.000,0.000
'0:08.200',-0.003,0.013,0.004,0.003,0.046,0.017,0.001,0.001,-0.114,0.009,-0.001,-0.000
'0:08.250',-0.005,0.014,0.005,0.005,0.046,0.017,0.001,0.001,-0.114,0.007,-0.001,-0.002
'0:08.300',-0.001,0.015,0.005,0.006,0.045,0.016,0.002,0.002,-0.116,0.006,-0.001,-0.002
'0:08.350',-0.002,0.013,0.003,0.005,0.046,0.016,0.002,0.002,-0.119,0.007,-0.000,-0.001
'0:08.400',-0.011,0.008,0.001,0.000,0.044,0.015,0.002,0.002,-0.112,0.009,0.001,0.002
'0:08.450',-0.017,0.004,-0.001,-0.003,0.042,0.013,0.002,0.001,-0.111,0.010,0.002,0.004
'0:08.500',-0.016,0.004,-0.001,-0.002,0.041,0.012,0.002,0.002,-0.114,0.009,0.002,0.003
'0:08.550',-0.011,0.007,0.001,0.001,0.042,0.012,0.003,0.003,-0.119,0.006,0.002,0.001
'0:08.600',-0.009,0.010,0.003,0.005,0.043,0.013,0.005,0.005,-0.119,0.006,0.002,0.001
'0:08.650',-0.012,0.010,0.006,0.006,0.043,0.013,0.007,0.007,-0.116,0.007,0.003,0.003
'0:08.700',-0.012,0.010,0.007,0.006,0.042,0.013,0.008,0.008,-0.115,0.008,0.004,0.005
'0:08.750',-0.012,0.010,0.008,0.007,0.042,0.013,0.009,0.009,-0.117,0.008,0.005,0.006
'0:08.800',-0.012,0.011,0.009,0.009,0.042,0.012,0.010,0.010,-0.118,0.007,0.006,0.005
'0:08.850',-0.011,0.011,0.009,0.010,0.040,0.011,0.010,0.010,-0.119,0.006,0.006,0.005
'0:08.900',-0.013,0.010,0.010,0.010,0.039,0.009,0.010,0.010,-0.120,0.005,0.005,0.005
'0:08.950',-0.015,0.009,0.010,0.009,0.038,0.007,0.010,0.010,-0.121,0.005,0.005,0.006
'0:09.000',-0.018,0.008,0.010,0.010,0.035,0.005,0.009,0.009,-0.121,0.003,0.004,0.005
'0:09.050',-0.017,0.008,0.009,0.010,0.032,0.003,0.008,0.008,-0.124,0.001,0.004,0.003
'0:09.100',-0.016,0.006,0.008,0.009,0.031,0.000,0.007,0.007,-0.129,-0.000,0.004,0.003
'0:09.150',-0.024,0.002,0.006,0.006,0.028,-0.002,0.006,0.006,-0.125,0.001,0.005,0.005
'0:09.200',-0.030,-0.002,0.004,0.003,0.025,-0.005,0.004,0.005,-0.123,0.001,0.005,0.006
'0:09.250',-0.031,-0.003,0.002,0.002,0.021,-0.009,0.002,0.002,-0.126,-0.001,0.004,0.005
'0:09.300',-0.028,-0.003,0.001,0.002,0.018,-0.013,-0.000,-0.000,-0.133,-0.004,0.003,0.002
'0:09.350',-0.031,-0.005,-0.000,0.001,0.013,-0.017,-0.003,-0.003,-0.136,-0.007,0.001,0.000
'0:09.400',-0.038,-0.009,-0.003,-0.002,0.009,-0.021,-0.006,-0.006,-0.134,-0.008,0.000,0.000
'0:09.450',-0.042,-0.013,-0.006,-0.006,0.005,-0.025,-0.009,-0.009,-0.134,-0.008,-0.000,0.001
'0:09.500',-0.045,-0.016,-0.009,-0.009,0.001,-0.029,-0.012,-0.012,-0.137,-0.009,-0.001,0.000
'0:09.550',-0.047,-0.018,-0.011,-0.011,-0.002,-0.032,-0.015,-0.015,-0.140,-0.012,-0.002,-0.002
'0:09.600',-0.048,-0.020,-0.013,-0.012,-0.006,-0.036,-0.018,-0.017,-0.143,-0.014,-0.003,-0.004
'0:09.650',-0.052,-0.022,-0.014,-0.015,-0.008,-0.038,-0.019,-0.020,-0.145,-0.016,-0.005,-0.005
'0:09.700',-0.055,-0.024,-0.015,-0.016,-0.009,-0.040,-0.020,-0.020,-0.145,-0.017,-0.006,-0.005
'0:09.750',-0.059,-0.025,-0.018,-0.017,-0.010,-0.040,-0.020,-0.020,-0.144,-0.018,-0.006,-0.006
'0:09.800',-0.056,-0.027,-0.022,-0.020,-0.010,-0.040,-0.020,-0.020,-0.150,-0.019,-0.006,-0.007
'0:09.850',-0.064,-0.034,-0.028,-0.027,-0.010,-0.042,-0.022,-0.021,-0.150,-0.018,-0.006,-0.006
'0:09.900',-0.075,-0.042,-0.034,-0.035,-0.015,-0.045,-0.025,-0.024,-0.146,-0.018,-0.007,-0.005
'0:09.950',-0.081,-0.046,-0.037,-0.039,-0.020,-0.049,-0.028,-0.029,-0.148,-0.020,-0.009,-0.008
